University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
University of Chicago,6,Biological Sciences Collegiate Division,Biological Sciences,4.20%,"Broad major spanning molecules, cells, organisms, ecology, and evolution, with strong laboratory and quantitative training. Common pre-med pathway."
,,,Computational Neuroscience,4.00%,"Quantitative major combining neuroscience with mathematics, computer science, and modeling of neural systems."
,,,Neuroscience,4.10%,"Study of the nervous system across molecular, cellular, systems, cognitive, and behavioral levels."
,,Arts & Humanities Collegiate Division,Art History,5.40%,Critical and historical study of works of art and visual culture across periods and geographies.
,,,Cinema and Media Studies,5.10%,"Critical study of film, television, and digital media as cultural forms, industries, and aesthetic objects."
,,,Classical Studies,5.80%,"Study of the languages, literatures, history, and material culture of ancient Greece and Rome."
,,,Cognitive Science,4.50%,"Interdisciplinary study of mind and intelligence drawing on philosophy, psychology, linguistics, neuroscience, and computer science."
,,,Comparative Literature,5.60%,"Cross-linguistic and cross-cultural study of literature, with strong emphasis on theory, translation, and literary form."
,,,Creative Writing,5.00%,"Workshop-based major in fiction, poetry, and nonfiction craft alongside literary study."
,,,East Asian Languages and Civilizations,5.70%,"Study of the languages, literatures, and civilizations of China, Japan, Korea, and related regions."
,,,English Language and Literature,5.20%,"Study of literatures in English across periods and genres with attention to form, history, and theory."
,,,Fundamentals: Issues and Texts,5.90%,Signature UChicago major centered on intensive close reading of a small number of canonical works around a chosen philosophical question.
,,,Germanic Studies,5.90%,"Study of German language, literature, and the cultural and intellectual history of the German-speaking world."
,,,Inquiry and Research in the Humanities,5.80%,"Self-designed humanities major built around an individual research question, in consultation with faculty."
,,,Jewish Studies,5.90%,"Interdisciplinary study of Jewish history, texts, languages, religion, and culture from antiquity to the present."
,,,Linguistics,5.10%,"Scientific study of language structure, meaning, sound, and acquisition."
,,,Media Arts and Design,5.00%,"Creative and critical study of media-making across digital, sonic, visual, and performance forms."
,,,Medieval Studies,6.00%,"Interdisciplinary study of the languages, literatures, history, religion, and arts of the medieval world."
,,,Middle Eastern Studies,5.70%,"Interdisciplinary study of the languages, histories, religions, and cultures of the Middle East."
,,,Music,5.20%,"Study of music history, theory, ethnomusicology, composition, and performance."
,,,Philosophy,5.30%,"Study of fundamental questions in metaphysics, epistemology, ethics, logic, and the history of philosophy."
,,,Religious Studies,5.80%,"Comparative and historical study of religious traditions, texts, and practices."
,,,Romance Languages and Literatures,5.70%,"Umbrella major in the languages and literatures of the Romance world; students pursue a specific track (see French, Italian, Spanish, or Latin American and Iberian Languages)."
,,,Romance Languages and Literatures: French,5.80%,"Romance Languages track focused on French language and literature, including Francophone cultures."
,,,Romance Languages and Literatures: Italian,5.90%,"Romance Languages track focused on Italian language, literature, and culture."
,,,Romance Languages and Literatures: Spanish,5.60%,Romance Languages track focused on Spanish language and the literatures of Spain and Latin America.
,,,Romance Languages and Literatures: Latin American and Iberian Languages,5.60%,"Romance Languages track focused on the languages and literatures of Latin America and the Iberian Peninsula, including Portuguese and Catalan."
,,,Russian and East European Studies,5.80%,"Interdisciplinary study of the languages, literatures, histories, and cultures of Russia and Eastern Europe."
,,,South Asian Languages and Civilizations,5.90%,"Study of the languages, literatures, religions, and histories of South Asia."
,,,Theater and Performance Studies,5.20%,"Study of theater and performance as text, embodied practice, and cultural form, with both scholarly and studio coursework."
,,,Visual Arts,5.00%,"Studio major in painting, drawing, sculpture, photography, printmaking, video, and digital media."
