University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
WashU,20,College of Arts & Sciences,African and African-American Studies,14.00%,"Interdisciplinary study of the histories, cultures, politics, and intellectual traditions of Africa and the African diaspora, drawing on history, literature, sociology, and anthropology."
,,,American Culture Studies,13.80%,"Interdisciplinary exploration of U.S. culture, identity, and society through history, literature, media, race and ethnicity studies, and the arts."
,,,Ancient Studies,14.50%,"Combines archaeology, classical languages, history, and material culture to study the ancient Mediterranean and Near Eastern worlds."
,,,Anthropology,13.40%,"Studies human societies, cultures, and biology through ethnographic, archaeological, linguistic, and biological subfields with strong fieldwork training."
,,,Applied Mathematics,10.20%,"Focuses on mathematical modeling, differential equations, numerical methods, and computation for problems in science, engineering, and the social sciences."
,,,Arabic,14.80%,"Develops advanced proficiency in Modern Standard Arabic alongside study of literature, media, and the cultures of the Arabic-speaking world."
,,,Art History and Archaeology,14.00%,"Examines visual art, architecture, and material culture across global traditions, combining art historical methods with archaeological inquiry."
,,,Asian American Studies,14.20%,"Interdisciplinary study of Asian American histories, communities, cultural production, and the politics of race, migration, and identity in the U.S."
,,,Astrophysics,11.50%,"Combines physics, math, and observational astronomy to study stars, galaxies, cosmology, and astrophysical phenomena, with access to active research groups."
,,,Biology (general track),10.00%,"Broad foundation in molecular, cellular, and organismal biology, with deep elective flexibility across the life sciences."
,,,Biology: Ecology and Evolution,10.80%,"Track focused on evolutionary biology, ecology, and biodiversity, with fieldwork opportunities and strong quantitative training."
,,,Biology: Genomics and Computational Biology,8.80%,"Combines molecular biology with bioinformatics, genomics, and computational data analysis."
,,,Biology: Molecular Biology and Biochemistry,9.00%,"Studies the molecular machinery of cells, biochemistry, and gene regulation, with intensive lab work."
,,,Biology: Neuroscience,8.50%,"A neuroscience-oriented biology track covering cellular, systems, and behavioral neuroscience."
,,,Chemistry,11.20%,"Covers organic, inorganic, physical, and analytical chemistry with extensive laboratory work in synthesis, spectroscopy, and instrumentation."
,,,Chemistry: Biochemistry,9.50%,Chemistry track emphasizing the molecular and metabolic chemistry of biological systems.
,,,Classics,14.70%,"Studies Greek and Latin languages, literature, history, philosophy, and material culture of the ancient Mediterranean."
,,,Comparative Arts,13.80%,"Interdisciplinary study of multiple art forms (visual art, music, literature, performance) across cultures and historical periods."
,,,Comparative Literature and Thought,14.00%,Cross-cultural and cross-linguistic literary analysis combined with critical theory and philosophy.
,,,Dance,13.50%,"Combines technique, choreography, performance, and dance studies, with opportunities to perform and create in WashU's dance program."
,,,Data Science,8.70%,"A&S-housed data science major combining statistics, computation, and domain applications for analytics, research, and quantitative careers."
,,,Drama,13.00%,"Studies dramatic literature, theatrical history, theory, and performance, with substantial production and acting opportunities through the Performing Arts Department."
,,,Earth Science,12.50%,"Investigates the structure, composition, and history of the Earth through geology, geochemistry, geophysics, and field study."
,,,East Asian Languages and Cultures,14.20%,"Advanced proficiency in Chinese, Japanese, or Korean paired with literature, film, history, and culture of East Asia."
,,,Economics,9.20%,"Covers microeconomics, macroeconomics, and econometrics, preparing students for careers in finance, consulting, policy, and graduate study."
,,,Economics and Computer Science (joint with McKelvey),6.80%,"Joint major integrating economic theory, econometrics, algorithms, and software development for analytics and quantitative roles."
,,,Educational Studies,13.20%,"Interdisciplinary study of education systems, learning, policy, and equity, with field experiences and applied research."
,,,Elementary Education,13.80%,"Professional preparation for elementary school teaching, integrating educational theory, content methods, and supervised classroom experience."
,,,English Literature,13.50%,"Close study of literature in English across periods, genres, and global traditions, with strong critical writing instruction."
,,,English Literature: Creative Writing,12.80%,"Workshop-based concentration in fiction, poetry, and creative nonfiction within the broader English major."
,,,Environmental Analysis,12.00%,"Interdisciplinary study of environmental issues combining policy, economics, ethics, and quantitative methods."
,,,Environmental Biology,10.80%,"Combines ecology, evolution, conservation biology, and environmental science with field and laboratory training."
,,,Environmental Policy,12.20%,"Studies the politics, economics, and law of environmental decision-making, including climate, energy, and natural-resource policy."
,,,Environmental Science,11.80%,"Quantitative, lab- and field-based study of Earth systems, ecology, geochemistry, and human-environment interactions."
,,,Film and Media Studies,12.40%,"Critical and historical study of film, television, and digital media, combined with screenwriting and production coursework."
,,,French,14.70%,"Advanced French language paired with study of French and Francophone literature, film, and culture."
,,,Germanic Languages and Literatures,15.00%,"Advanced German language with literature, philosophy, film, and culture of German-speaking Europe."
,,,Global Studies,11.50%,"Interdisciplinary study of globalization, transnational politics, migration, and culture across world regions."
,,,Hebrew,15.00%,"Advanced Hebrew language and study of Israeli and Jewish literature, culture, and history."
,,,History,13.50%,"Investigates political, social, cultural, and economic change across regions and eras using primary sources and historiographical methods."
,,,Italian,15.00%,"Advanced Italian language paired with literature, film, and the cultural history of Italy."
,,,"Jewish, Islamic, and Middle Eastern Studies",14.50%,"Interdisciplinary study of religious traditions, languages, history, and politics of Jewish, Islamic, and Middle Eastern cultures."
,,,Latin American Studies,14.20%,"Interdisciplinary study of Latin American history, politics, literature, and culture, often combined with advanced Spanish or Portuguese."
,,,Linguistics,13.00%,"Studies the structure of language — phonology, syntax, semantics, and sociolinguistics — with strengths in computational and cognitive linguistics."
,,,Mathematics,10.80%,"Rigorous training in pure mathematics including analysis, algebra, topology, and geometry."
,,,Mathematical Sciences,10.60%,"A broader, more applied track combining pure math with probability, statistics, and computation."
,,,Mathematics and Economics,8.80%,Joint major combining advanced mathematics with rigorous economics for quantitative and research-oriented careers.
,,,Music,13.80%,"Covers music theory, history, composition, and performance, with ensembles, electronic music, and music technology coursework."
,,,Philosophy,13.80%,"Studies ethics, metaphysics, epistemology, logic, and philosophy of science with strong analytic and formal-logic traditions."
,,,Philosophy-Neuroscience-Psychology (PNP),9.20%,Distinctive WashU interdisciplinary major linking philosophy of mind with cognitive neuroscience and psychology.
,,,Physics,11.40%,"Covers classical and quantum mechanics, electromagnetism, statistical mechanics, and modern experimental physics."
,,,Planetary Science,12.50%,"Studies the physics, geology, and chemistry of planets and other solar-system bodies, with WashU's strong planetary research community."
,,,Political Science,10.50%,"Studies American politics, international relations, comparative politics, and political theory using empirical and theoretical methods."
,,,Psychological and Brain Sciences,9.60%,"Combines cognitive, behavioral, and neuroscience approaches to study perception, memory, learning, and behavior."
,,,Public Health and Society,9.80%,"Interdisciplinary major covering epidemiology, health policy, ethics, and the social determinants of health."
,,,Religious Studies,14.70%,"Comparative study of religious traditions, texts, and practices using historical, philosophical, and ethnographic methods."
,,,Romance Languages and Literatures,14.80%,"Combined study of two or more Romance languages (French, Italian, Portuguese, Spanish) with literature and cultural history."
,,,Sociology,13.20%,"Studies social institutions, inequality, race, gender, and culture using qualitative and quantitative methods."
,,,Spanish,14.40%,"Advanced Spanish language with literature, film, and cultures of Spain and Latin America."
,,,Statistics,9.80%,"Covers probability, statistical inference, regression, and data analysis with strong computational training."
,,,"Women, Gender, and Sexuality Studies",14.20%,"Interdisciplinary study of gender, sexuality, race, and power across literature, history, philosophy, and the social sciences."
,,McKelvey School of Engineering,Biomedical Engineering,7.80%,"Applies analytical, modeling, and systems engineering approaches to multi-scale problems in biology and medicine, including imaging, biomechanics, and biomaterials."
,,,Chemical Engineering,8.80%,"Uses chemistry, physics, and mathematics to design and develop chemical manufacturing processes, energy systems, and materials."
,,,Computer Science,6.50%,"Provides a strong foundation in algorithms, programming languages, systems, theory, and AI/ML with opportunities for faculty-led research."
,,,Computer Engineering,7.20%,"Covers hardware, software, and computer systems — including digital design, embedded systems, and computer architecture."
,,,Computer Science + Economics (joint with Arts & Sciences),6.80%,"Joint major designed to bridge algorithmic, data-science, and economic-theory skills for analytics, fintech, and quantitative careers."
,,,Computer Science + Mathematics (joint with Arts & Sciences),6.70%,"Joint major combining CS with rigorous mathematics — analysis, algebra, discrete math — for theoretical CS, machine learning, and quantitative work."
,,,Business + Computer Science (joint with Olin),5.80%,"Joint Olin/McKelvey degree blending core business curriculum with software development, data, and computing for tech-management and product careers."
,,,Data Science (McKelvey track),7.20%,"Engineering-oriented data science degree combining statistics, machine learning, computing, and large-scale data systems."
,,,Electrical Engineering,8.20%,"Studies circuits, signals, electromagnetics, electronics, and devices, with applications spanning communications, power, and embedded systems."
,,,Systems Science and Engineering,8.60%,"Studies the modeling, analysis, optimization, and control of complex systems in industry, infrastructure, healthcare, and finance."
,,,Applied Science (Electrical Engineering),8.50%,A less specialized BS track providing breadth in electrical engineering for students not pursuing the professional EE degree.
,,,Applied Science (Systems Science and Engineering),8.80%,A breadth-oriented systems engineering BS for students combining systems thinking with other disciplines.
,,,Environmental Engineering,9.50%,"Designs systems for clean water, air quality, energy, and climate resilience, combining chemistry, biology, and process engineering."
,,,Mechanical Engineering,8.00%,"Covers mechanics, thermodynamics, dynamics and controls, materials, and design, with strong tracks in robotics, energy, and biomechanics."
,,Olin Business School,BSBA in Accounting,9.80%,"Combines the BSBA business core with financial accounting, auditing, tax, and reporting coursework for CPA-track and corporate finance careers."
,,,BSBA in Economics and Strategy,9.00%,"Pairs the business core with microeconomic theory, game theory, industrial organization, and strategic research methods."
,,,BSBA in Entrepreneurship,9.50%,"Covers venture creation, new-product development, and innovation strategy, with elective experiential consulting and venture work."
,,,BSBA in Finance,8.20%,"Builds on the quantitative Olin core with corporate finance, investments, derivatives, and quantitative risk management."
,,,BSBA in Healthcare Management,9.20%,"Focuses on the business of healthcare — medical ethics, health economics, pharma, and provider operations."
,,,BSBA in Marketing,9.80%,"Covers consumer behavior, branding, market research, pricing, and digital strategy through analytical and experiential learning."
,,,BSBA in Operations and Supply Chain Management,9.40%,"Develops skills in process optimization, supply-chain analytics, manufacturing systems, and service operations."
,,,BSBA in Organization and Strategic Management,9.60%,"Studies leadership, organizational behavior, corporate strategy, and global management in modern organizations."
,,,BSBA + Business and Computer Science (joint with McKelvey),5.80%,"Joint Olin/McKelvey major blending the business core with software engineering, data structures, and applied computing for product, fintech, and tech-management roles."
,,Sam Fox School of Design & Visual Arts,Bachelor of Science in Architecture (BS Arch) — College of Architecture,10.50%,"Four-year pre-professional architecture degree integrating studio design, building science, urban context, history, and computational design."
,,,Bachelor of Arts in Architecture — College of Architecture,11.50%,More liberal-arts-oriented architecture degree balancing studio work with broader humanities and cross-school coursework.
,,,Bachelor of Fine Arts in Studio Art — College of Art,11.00%,"Studio-intensive BFA spanning painting, sculpture, printmaking, photography, time-based media, and social practice."
,,,Bachelor of Arts in Studio Art — College of Art,12.50%,More flexible studio art degree that pairs studio practice with a stronger liberal-arts foundation.
,,,Bachelor of Fine Arts in Communication Design — College of Art,9.50%,"Studio-intensive BFA in graphic, interaction, and visual communication design, including typography, branding, and digital experience."
,,,Bachelor of Fine Arts in Fashion Design — College of Art,10.00%,"Studio-intensive fashion design BFA covering design research, pattern making, garment construction, and runway presentation."
,,,Bachelor of Arts in Design — College of Art,11.50%,"Broad design degree combining studio practice with design research, theory, and history across communication, fashion, and product contexts."
,,Beyond Boundaries Program (special interdisciplinary program),Beyond Boundaries Interdisciplinary Program,9.00%,"A selective four-year program for students intent on combining majors across two or more WashU schools. Students take a multi-year sequence of interdisciplinary seminars and design their own cross-school path — for example, marketing + psychology, urban studies + dance, or political science + biology — across Arts & Sciences, McKelvey Engineering, Olin Business, and Sam Fox."
