University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
Duke University,7,Trinity College of Arts and Sciences,African & African American Studies,5.60%,"Interdisciplinary study of the histories, cultures, politics, and intellectual traditions of African and African diasporic peoples."
,,,Ancient Religion & Society,5.90%,"Interdepartmental major in Classical Studies and Religious Studies examining religion, society, and texts in the ancient Mediterranean world."
,,,Art History,5.50%,Critical and historical study of works of art and visual culture across periods and geographies.
,,,Art History: Architecture,5.40%,"Art History track focused on architectural history, theory, and the built environment."
,,,Art History: Museum Theory & Practice,5.60%,"Art History track preparing students for museum work through curatorial, theoretical, and practical study."
,,,Art History & Visual Arts,5.30%,Combined major integrating art-historical scholarship with studio practice.
,,,Asian & Middle Eastern Studies,5.60%,"Interdisciplinary study of the languages, cultures, and histories of Asia and the Middle East."
,,,Biology,4.00%,"Broad study of living systems from molecules and cells to organisms, populations, and ecosystems."
,,,Biophysics,4.10%,Interdisciplinary major applying physical principles and quantitative methods to biological systems.
,,,Brazilian & Global Portuguese Studies,6.00%,"Study of the Portuguese-speaking world with emphasis on Brazil, Portugal, and Lusophone Africa."
,,,Chemistry,4.50%,"Study of matter and its transformations across organic, inorganic, physical, and analytical chemistry."
,,,Classical Civilization,5.80%,"Interdisciplinary study of the cultures, histories, and material remains of ancient Greece and Rome."
,,,Classical Languages,6.00%,Advanced study of ancient Greek and/or Latin language and literature.
,,,Computational Biology and Bioinformatics,3.80%,"Major combining biology, computer science, and statistics to analyze genomic, molecular, and biomedical data."
,,,Computational Media,4.40%,"Interdepartmental major in Computer Science and Visual and Media Studies focused on the design, theory, and critique of computational media."
,,,Computer Science,3.50%,"Foundations and applications of computing including algorithms, systems, theory, AI, and software."
,,,Cultural Anthropology,5.40%,"Ethnographic and theoretical study of human cultures, social practices, and global cultural processes."
,,,Dance,5.70%,"Major in dance technique, choreography, performance, and dance studies."
,,,Earth & Climate Sciences,4.90%,"Study of Earth's physical processes, climate system, and history, with AB and BS tracks."
,,,Economics,3.60%,"Study of how individuals, firms, and societies allocate resources, with training in micro, macro, and econometrics."
,,,English,5.20%,"Study of literatures in English across periods and genres with attention to form, history, and theory."
,,,Environmental Sciences,4.80%,"Study of natural environmental systems with rigorous science training, offered through the Nicholas School of the Environment."
,,,Environmental Sciences & Policy,4.70%,"Major combining environmental science with policy, economics, and the social dimensions of environmental challenges."
,,,Evolutionary Anthropology,5.00%,"Study of human and primate evolution, behavior, biology, and ecology."
,,,French & Francophone Studies,5.80%,"Study of French and Francophone language, literature, and cultures across Europe, the Americas, Africa, and Asia."
