University,U.S. News Rankings,College,Majors,College Specific Acceptance Rate,Description
Vanderbilt University,17,College of Arts and Science (A&S),African American and Diaspora Studies (B.A.),5.00%,"Histories, cultures, politics, and intellectual traditions of African-descended peoples in the U.S. and global diaspora — history, literature, sociology, and cultural studies."
,,,Anthropology (B.A.),4.80%,"Human societies, cultures, and biological evolution across time and place through cultural, biological, archaeological, and linguistic anthropology."
,,,Architecture and the Built Environment (B.A.),4.40%,"History, theory, and cultural significance of architecture and urban design, with emphasis on how the built environment shapes human experience and social life."
,,,Art (B.A.),4.70%,"Studio training in drawing, painting, printmaking, sculpture, photography, and other media alongside study of art history and visual culture."
,,,Asian American and Asian Diaspora Studies (B.A.),5.10%,"Histories, cultures, and social experiences of Asian-origin populations in the U.S. and globally through literary, historical, and sociological perspectives."
,,,Asian Studies (B.A.),5.00%,"Interdisciplinary major covering civilizations, languages, histories, religions, and contemporary politics of East, South, and Southeast Asia."
,,,Biochemistry and Chemical Biology (B.A. or B.S.),3.70%,"Chemical processes underlying living systems — molecular genetics, protein structure and function, enzyme mechanisms, and chemical basis of biological regulation. B.S. option added 2025–26."
,,,Biological Sciences (B.A.),3.80%,"Broad foundation in life sciences — cell biology, genetics, evolution, ecology, and physiology, with lab and field research opportunities."
,,,Chemistry (B.A. or B.S.),4.20%,"Organic, inorganic, physical, and analytical chemistry for research, graduate study, medicine, or industry. B.S. option added 2025–26."
,,,Cinema and Media Arts (B.A.),4.50%,"History and theory of film and media combined with hands-on practice in screenwriting, production, and editing."
,,,Classical and Mediterranean Studies (B.A.),5.20%,"Languages (Greek and Latin), literatures, histories, and material cultures of the ancient Greek and Roman worlds and the broader Mediterranean basin."
,,,Climate and Environmental Studies (B.A.),4.60%,"Interdisciplinary major on the scientific, social, political, and ethical dimensions of climate change and environmental sustainability."
,,,Communication of Science and Technology (B.A.),4.40%,"How scientific and technical information is produced, communicated, and understood across public, professional, and media contexts."
,,,Communication Studies (B.A.),4.20%,"Human communication in interpersonal, organizational, public, and mediated contexts — rhetoric, media, and social dimensions of communication practices."
,,,Computer Science (B.A.),3.30%,B.A. pathway in computer science through the College of Connected Computing partnership; the ABET-accredited B.S. is offered through Engineering.
,,,"Culture, Advocacy, and Leadership (B.A.)",4.70%,"Interdisciplinary major focused on social change, community organizing, and civic engagement — sociology, political science, and cultural studies."
,,,Earth and Environmental Sciences (B.A. or B.S.),4.70%,"Geological and geochemical processes shaping Earth — tectonics, geomorphology, hydrology, climate systems, and environmental change. B.S. option added 2025–26."
,,,Economics (B.A. or B.S.),3.60%,"Allocation of scarce resources, market behavior, and macroeconomic systems — economic theory, quantitative methods, and applied policy analysis. B.S. option added 2025–26."
,,,Economics and History (B.A.),3.90%,Combined major examining economic development and institutions through both economic modeling and historical analysis.
,,,English (B.A.),4.80%,"Literature in English from medieval to contemporary periods, with attention to literary form, cultural context, critical theory, and creative writing."
,,,European Studies (B.A.),5.10%,"Interdisciplinary major on European politics, history, culture, languages, and societies from ancient times to the present."
,,,French (B.A.),5.30%,"Advanced proficiency in French alongside Francophone literature, culture, history, and linguistics across France and the global Francophone world."
,,,Gender and Sexuality Studies (B.A.),5.00%,"Social construction of gender and sexuality, feminist theory, queer studies, and intersections with race, class, and power across cultures and history."
,,,German Studies (B.A.),5.40%,"Advanced German with German, Austrian, and Swiss literature, culture, philosophy, and history from medieval to present."
,,,History (B.A.),4.80%,"The human past across diverse regions, periods, and themes using primary sources and historical methods, with strong research and writing training."
,,,History of Art (B.A.),5.00%,"Visual arts — painting, sculpture, architecture, photography, and design — across world cultures and periods, combining formal analysis with historical interpretation."
,,,Integrative Biology (B.A. or B.S.),4.00%,"Bridges classical biology with quantitative and computational methods, emphasizing organisms across scales from molecules to ecosystems. Major added 2025–26."
,,,Jewish Studies (B.A.),5.30%,"Interdisciplinary study of history, religion, literature, philosophy, and culture of Jewish communities from antiquity through the present."
,,,"Latin American, Caribbean, and Latinx Studies (B.A.)",5.00%,"Histories, cultures, politics, and social movements of Latin America, the Caribbean, and Latinx communities in the U.S. from pre-Columbian times to the present."
,,,"Law, History, and Society (B.A.)",4.30%,"Interdisciplinary major combining legal theory, historical analysis, and social science perspectives on how law shapes and is shaped by society."
,,,Mathematics (B.A. or B.S.),4.10%,"Pure and applied mathematics — analysis, algebra, topology, probability, and statistics. Pathways into research, data science, and quantitative fields. B.S. option added 2025–26."
,,,"Medicine, Health, and Society (B.A.)",3.80%,"Social, cultural, historical, and political dimensions of health, medicine, and the body — preparation for health policy, medicine, and health-related social research."
,,,Molecular and Cellular Biology (B.A. or B.S.),3.70%,"Molecular mechanisms underlying cellular function — gene expression, signal transduction, cell division, and molecular genetics. B.S. option added 2025–26."
,,,Neuroscience (B.A. or B.S.),3.50%,"Interdisciplinary integration of biology, chemistry, psychology, and computation to study the nervous system at molecular, cellular, systems, and behavioral levels. B.S. option added 2025–26."
,,,Philosophy (B.A.),4.90%,"Fundamental questions about knowledge, reality, ethics, logic, and mind — rigorous argumentation and conceptual analysis across major philosophical traditions."
,,,Physics (B.A. or B.S.),4.20%,"Fundamental laws of matter and energy — classical mechanics, electromagnetism, quantum mechanics, and relativity, with lab and computational components. B.S. option added 2025–26."
,,,Political Science (B.A.),4.00%,"Political institutions, behavior, theory, and international relations — American politics, comparative government, political philosophy, and global affairs."
,,,Psychology (B.A.),3.90%,"Science of mind and behavior — cognitive, developmental, social, clinical science, and neuroscientific approaches to human psychology."
,,,Public Policy Studies (B.A.),4.00%,"Interdisciplinary major on formulation, analysis, and implementation of public policy — economics, political science, law, and social science methods."
,,,Religious Studies (B.A.),5.30%,"Diverse beliefs, practices, texts, rituals, and institutions of world religions through historical, literary, anthropological, and comparative approaches."
,,,Russian Studies (B.A.),5.40%,"Russian language with Russian and Soviet literature, history, politics, culture, and the broader post-Soviet world."
,,,Sociology (B.A.),4.80%,"Social structures, institutions, inequality, culture, and collective behavior — empirical methods for analyzing how societies are organized and change."
,,,Spanish (B.A.),5.00%,"Advanced Spanish-language proficiency with literatures, cultures, histories, and linguistic diversity of Spain and Latin America."
,,,Spanish and Portuguese (B.A.),5.10%,Combined major developing proficiency in both Spanish and Portuguese with the interconnected literary and cultural traditions of the Iberian world and Latin America.
,,,Theatre (B.A.),4.70%,"History and theory of theatre with studio practice in acting, directing, design, and dramaturgy — performance as an art form and cultural practice."
,,School of Engineering,Biomedical Engineering (B.E.),3.40%,"Engineering applied to biology and medicine — biomechanics, biomedical imaging, neural engineering, biomedical devices, and molecular/cellular bioengineering. Strong ties to Vanderbilt University Medical Center."
,,,Chemical Engineering (B.E.),3.80%,"Transport phenomena, thermodynamics, reaction kinetics, separations, and process design with bench-scale and pilot-plant laboratory courses."
,,,Civil Engineering (B.E.),4.10%,"Structural analysis and design, geotechnical engineering, transportation, water resources, and construction management."
