University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
Georgetown,24,Georgetown College of Arts & Sciences (CAS),American Musical Cultures (AB),15.00%,"Liberal-arts degree integrating film, media, public policy, politics, and social justice within the study of American music — designed for careers in arts management, entertainment law, music journalism, or musicology."
,,,American Studies (AB),14.50%,"Interdisciplinary major examining power, identity, and American culture through history, literature, sociology, and the arts."
,,,Anthropology (AB),14.20%,"Trains students in scientific, interpretive, and critical methods to analyze human social phenomena locally and globally, with significant DC-based fieldwork."
,,,Arabic (AB),15.20%,Builds advanced Arabic language proficiency together with linguistic and cultural study of the Arab world.
,,,Art (AB),13.80%,"Studio-based major spanning painting, drawing, sculpture, printmaking, photography, and electronic media, paired with critical art history."
,,,Art History (AB),14.40%,"Studies visual art and architecture across global traditions, leveraging Washington-area museums for object-based research and writing."
,,,Biochemistry (BS),11.20%,"Combines organic, physical, and analytical chemistry with molecular biology to study the chemistry of life at atomic and cellular scales."
,,,Biological Physics (BS),11.50%,"Applies physics, mathematics, and computation to biological systems, from biomechanics to single-molecule biophysics."
,,,Biology (BS),11.40%,"Covers molecular, cellular, and organismal biology with strong laboratory and research opportunities."
,,,Biology of Global Health (BS),10.80%,"Pairs core biology with epidemiology, immunology, and global health policy — distinctive at Georgetown given its DC location and policy strengths."
,,,Black Studies (AB),14.80%,"Interdisciplinary study of the history, culture, politics, and intellectual traditions of African-descended peoples in the U.S. and globally."
,,,Chemistry (BS),12.00%,"Covers organic, inorganic, physical, and analytical chemistry with extensive lab training in synthesis, spectroscopy, and instrumentation."
,,,Chinese (AB),15.00%,"Advanced Mandarin language with study of Chinese literature, film, history, and culture."
,,,Classics (AB),15.50%,"Studies Greek and Latin languages, literature, history, philosophy, and material culture of the ancient Mediterranean."
,,,Computer Science (AB or BS),9.50%,"Covers algorithms, programming languages, systems, theory, and AI/ML, offered as either a flexible AB or a more technical BS."
,,,"Computer Science, Ethics, and Society (AB)",10.20%,"Combines technical training in computer science with deep study of the ethical, legal, and social challenges of computing — leveraging Georgetown's Jesuit ethical tradition."
,,,Disability Studies,15.00%,"Interdisciplinary major analyzing disability through history, policy, ethics, and the arts, drawing on Georgetown's strong disability-studies faculty."
,,,East Asian Languages and Cultures (AB),15.00%,"Combines advanced study of an East Asian language (Chinese, Japanese, or Korean) with literature, film, and cultural history of the region."
,,,Economics (AB),10.50%,"Covers microeconomics, macroeconomics, and econometrics with significant elective flexibility — Georgetown has long-standing strengths in policy-relevant economics."
,,,"Engineering (BA/BS, dual-degree with Columbia)",11.50%,A 3+2 combined-plan program with Columbia Engineering: three years at Georgetown plus two years at Columbia leading to dual BA/BS degrees.
,,,English (AB),14.00%,"Studies literature in English across periods and traditions, including dedicated creative writing offerings."
,,,Environment & Sustainability (BS),12.40%,"BS jointly offered by CAS and the Earth Commons Institute, integrating natural science, economics, and policy to address environmental challenges."
,,,Environmental Biology (BS),12.20%,"Combines ecology, evolutionary biology, and conservation science with field and lab work."
,,,French and Francophone Studies (AB),15.30%,"Advanced French language with literature, film, and the cultures of France and the broader Francophone world."
