University,U.S. News Rankings,College,Majors,College Specific Acceptance Rate,Description
Emory,24,Emory College of Arts and Sciences — Humanities & Languages,African American Studies (BA),11.80%,"Histories, cultures, and political movements of Black communities in the United States and the global African diaspora — cross-disciplinary inquiry combined with community engagement."
,,,African Studies (BA),12.20%,"Histories, societies, and cultures of African peoples with an interdisciplinary lens. Strong study abroad and internship opportunities in Africa and London."
,,,American Studies (BA),11.60%,"Patterns of American culture across history, literature, sociology, and cultural studies — region, class, race, ethnicity, and gender as analytic frames."
,,,Ancient Mediterranean Studies (BA),12.40%,"Interconnections of the ancient Near East, Egypt, Greece, and Rome through artifacts, ideas, and exchange. Archaeological projects and study abroad in Israel, Turkey, Greece, and Italy."
,,,Arabic (BA),12.50%,Arabic language fluency combined with Arabic-speaking cultures. Intensive summer program in Morocco and semester programs across the MENA region.
,,,Art History (BA),11.80%,"Visual analysis of painting, sculpture, photography, architecture, and performance in historical and contemporary contexts, with attention to studio art and critical theory."
,,,Chinese Studies (BA),12.30%,"Chinese language combined with Chinese literature, culture, and society. In-country study abroad is integral."
,,,Classical Civilization (BA),12.40%,"Classical Greek and Roman world through literature, art, archaeology, history, philosophy, and religion. Strong preparation for law, medicine, business, and publishing."
,,,Classics (BA),12.50%,"Languages, literature, culture, and influence of ancient Greece and Rome — direct access to foundational texts through rigorous linguistic training."
,,,"Classics and English (BA, Joint Major)",12.00%,Joint major pairing classical languages/literature with English literary studies — the influence of antiquity on modern literature and culture.
,,,"Classics and History (BA, Joint Major)",12.00%,Classics combined with historical methods — the ancient world through primary-language study and historiographical frameworks.
,,,"Classics and Philosophy (BA, Joint Major)",12.10%,"Ancient Greek and Roman texts integrated with philosophical inquiry — ethics, metaphysics, and epistemology in the classical tradition."
,,,Comparative Literature (BA),11.90%,"Literature in English and other languages — Western and non-Western works examined through philosophy, religion, and psychology, with multilingual reading."
,,,Dance and Movement Studies (BA),11.70%,"Movement as an intellectual, emotional, and kinesthetic form of knowledge — performance, choreography, theory, and history."
,,,East Asian Languages and Cultures (BA),12.20%,"Intensive Chinese, Japanese, or Korean language combined with literature and culture. Semester abroad in China, Japan, or Korea strongly encouraged."
,,,East Asian Studies (BA),12.20%,"Interdisciplinary histories, societies, and cultural production of East Asia — substantial language acquisition and regional study abroad required."
,,,English (BA),11.40%,"British and American literature, poetry, drama, fiction, and creative/critical writing — Shakespeare to science fiction to contemporary theory."
,,,English and Creative Writing (BA),10.90%,"Literary traditions integrated with intensive creative practice in poetry, fiction, playwriting, screenwriting, and creative nonfiction."
,,,"English and History (BA, Joint Major)",11.30%,Relationships between literature and historical context — individualized program connecting textual analysis with historiographical methods.
,,,Film and Media (BA),10.80%,"Media literacy and critical thinking about how images and sounds construct meaning — history, theory, and cultural context of film and media."
,,,French Studies (BA),12.40%,"French language combined with French and Francophone literature, culture, and history. Six-week Paris summer immersion and semester EDUCO programs."
,,,German Studies (BA),12.60%,"Literary, cultural, linguistic, and historical study of the German-speaking world with study abroad and international career preparation."
,,,Greek (BA),12.70%,Classical Greek language enabling direct reading of literary works in the original — foundational to Western intellectual tradition.
,,,History (BA),11.50%,"Shared human experience across time — analytical tools for political, cultural, economic, and social change globally and locally."
,,,"History and Art History (BA, Joint Major)",11.70%,Broad historical study combined with the analysis of art objects from Egyptian funerary artifacts to modern sculpture in political and cultural context.
,,,"Integrated Visual Arts (BA, Co-Major)",11.20%,Studio art practice combined with art history and theory — must be paired with another major. Study abroad and summer internships encouraged.
,,,Interdisciplinary Studies in Society and Culture (BA),11.30%,"Self-designed major for topics that cross disciplinary frameworks — customized coursework, independent research, and a senior project under faculty mentorship."
,,,Italian Studies (BA),12.60%,"Italy through literary, cultural, historical, artistic, philosophical, and political lenses, combining language acquisition with humanistic traditions."
,,,Japanese (BA),12.40%,"Japanese language from elementary through advanced levels combined with electives in literature, gender and sexuality, and cultural studies."
,,,Jewish Studies (BA),12.50%,"Jews and Judaism through history, religion, linguistics, literature, theology, political science, and anthropology — foundation for graduate or organizational careers."
,,,Latin (BA),12.70%,Classical Latin enabling direct reading of literary works of ancient Rome with increasing fluency and depth.
,,,Latin American and Caribbean Studies (BA),12.10%,"History and contemporary life of Latin America and the Caribbean — coursework taught in English and Spanish across history, social sciences, politics, arts, and literature."
,,,Linguistics (BA),11.30%,"Language across physiology, cognition, meaning, society, and culture — critical thinking about language structure and linguistic research."
