University,U.S. News Rankings,College,Majors,College Specific Acceptance Rate,Description
Rice University,17,Wiess School of Natural Sciences,Astronomy (B.A.),8.20%,"Broad liberal-arts education concentrated in observational and theoretical astronomy, with flexibility for coursework across other disciplines. Department of Physics and Astronomy."
,,,Astrophysics (B.S.),7.40%,Rigorous preparation for employment or graduate study in astrophysics and physics; requires stronger math and physics prerequisites than the B.A. in Astronomy.
,,,Biosciences (B.A. or B.S.),6.70%,Covers the full breadth of the life sciences through four concentrations: Biochemistry; Cell Biology and Genetics; Ecology and Evolutionary Biology; and Integrative Biology. Replaced the older Biochemistry and Cell Biology and EEB majors in 2024.
,,,Chemical Physics (B.S.),7.30%,"Interdisciplinary major bridging chemistry and physics — quantum mechanics, thermodynamics, spectroscopy, and the chemistry–physics interface. Joint with the Departments of Chemistry and Physics and Astronomy."
,,,Chemistry (B.A. or B.S.),7.80%,"Foundation in general, analytical, biological, inorganic, organic, and physical chemistry with lab experience. The B.S. is American Chemical Society certified; the B.A. is more flexible for double majors and pre-professional paths."
,,,"Earth, Environmental and Planetary Sciences (B.A. or B.S.)",8.30%,"Earth and planetary systems, plate tectonics, geochemistry, oceanography, and climate. The B.S. specializes in Geoscience, Environmental Earth Science, or Planetary Science."
,,,Environmental Science (B.A. or B.S.),8.00%,Interdisciplinary major in human–environment interactions with concentrations in Earth Science and Ecology and Evolutionary Biology. Jointly administered by BioSciences and EEPS.
,,,Health Sciences (B.A.),6.80%,"Foundation in health promotion and disease prevention, public and community health. Preparation for graduate study in public health, health education, medicine, or dentistry. Department of Kinesiology."
,,,Mathematics (B.A. or B.S.),7.20%,"Pure and applied math from calculus and combinatorics through abstract algebra, analysis, differential geometry, topology, and PDEs."
,,,Neuroscience (B.A. or B.S.),6.40%,"Interdisciplinary study of the brain across biological, biochemical, computational, and behavioral perspectives. B.S. concentrations: Computational Neuroscience; Molecular and Cellular Neuroscience. Administered by BioSciences."
,,,Physics (B.A. or B.S.),7.30%,B.A. offers a broad liberal-arts physics education; B.S. prepares students rigorously for graduate study or research careers in physics and related fields.
,,,Sports Medicine and Exercise Physiology (B.A.),7.00%,"Basic science applied to human movement, performance, and exercise. Preparation for graduate study in exercise science, physical therapy, or medicine. Department of Kinesiology."
,,George R. Brown School of Engineering and Computing,Artificial Intelligence (B.S.),5.60%,"Machine learning, deep learning, NLP, computer vision, robotics, and intelligent systems. Administered by the Department of Computer Science."
,,,Bioengineering (BSBE),5.90%,"Bridges bioengineering, basic science, and clinical medicine, with translational research skills for moving biotech advances from bench to bedside. BSBE only — no B.A. option."
,,,Chemical and Biomolecular Engineering (B.A. or BSChE),6.60%,"Fluid mechanics, heat and mass transfer, thermodynamics, kinetics, reactor design, process control, and product/process design. BSChE specializations: Biomolecular Engineering; Computational Engineering; Energy/Sustainability; Materials/Nanotechnology."
,,,"Civil and Environmental Engineering (B.A., BSCE, or BSEnvE)",7.00%,"BSCE specializations: Environmental Engineering; Hydrology and Water Resources; Structural Engineering and Mechanics; Urban Infrastructure, Reliability, and Management. BSEnvE focuses on Sustainable Water; Air, Climate, and Energy; Resilient Infrastructure; and Environmental Management."
,,,Computational and Applied Mathematics (B.A.),6.40%,"Foundations applicable to engineering, physical sciences, life sciences, social sciences, and CS — math underlying modern algorithms for data science and computation."
,,,Computer Science (B.A. or BSCS),5.50%,"Algorithms, programs and programming, and computational systems. Faculty research spans algorithms and complexity, AI, compilers, distributed computation, graphics, NLP, and machine learning."
,,,Electrical and Computer Engineering (B.A. or BSECE),6.00%,"Four areas: AI & Systems (signal/image processing, wireless, data analytics); Computer Engineering (architecture, embedded systems, VR); Neuroengineering (BCIs, computational neuroscience); Photonics, Electronics, and Nano-devices."
,,,Materials Science and NanoEngineering (B.A. or BSMSNE),6.80%,"Processing, structure, properties, and performance of metals, semiconductors, ceramics, polymers, composites, biomaterials, and nanomaterials. The BSMSNE includes capstone design projects."
,,,Mechanical Engineering (B.A. or BSME),6.40%,"Aerospace, biomedical systems, computational fluid dynamics, mechanical design, mechanics, robotics, and systems dynamics and controls. BSME specializations: Aerospace; Computational Engineering; Mechanics/Dynamics; Thermal Fluids."
,,,Operations Research (B.A. or B.S.),6.10%,"Models for decision-making in complex systems and optimization tools for logistics, healthcare, energy, and other domains. Department of Computational Applied Mathematics and Operations Research."
,,,Statistics (B.A. or B.S.),6.30%,"Probabilistic and statistical ideas, methods, and applications. The B.S. is intended for graduate study or research careers in statistics or related quantitative fields."
,,School of Humanities and Arts,Art (B.A.),8.70%,"Studio art major with experimentation across drawing, painting, sculpture, photography, film, ceramics, and performance. Concentrations in Studio Art and Film and Photography."
,,,Art History (B.A.),9.20%,"History, theory, and criticism of visual art and architecture from ancient to contemporary times across global cultures, with strong training in visual analysis and research writing."
,,,English (B.A.),8.90%,"British and American literatures from medieval to contemporary, with emphases in race and ethnicity studies, feminist and gender studies, queer theory, postcolonial Anglophone literature, and visual/comparative media studies. Optional Creative Writing concentration in fiction, poetry, creative nonfiction, podcasting, and translation."
,,,History (B.A.),9.00%,"Critical research, communication, and writing on the human past across periods and geographies. Optional International Concentration and Honors Program with archival research and thesis."
,,,French Studies (B.A.),9.60%,"French and Francophone language, literature, culture, and history, building proficiency in French alongside critical and intercultural skills."
,,,German Studies (B.A.),9.80%,"German-language literatures and cultures, language study, and the cultural and intellectual history of the German-speaking world."
,,,Spanish and Portuguese (B.A.),9.30%,"Literatures, languages, and cultures of the Hispanic and Lusophone worlds — Spain, Portugal, Latin America, and the Caribbean."
,,,Philosophy (B.A.),9.00%,"Epistemology, metaphysics, ethics, and the meaning of existence with strong emphasis on argument construction and engagement with the history of philosophy."
,,,Religion (B.A.),9.70%,"Mainline religious traditions and marginal/repressed religious currents in multicultural, transnational contexts through historical, social, cultural, psychological, philosophical, and cognitive lenses."
,,,Asian Studies (B.A.),9.40%,"Interdisciplinary study of the histories, languages, literatures, religions, and cultures of East, Southeast, South, and Central Asia. Department of Transnational Asian Studies."
,,,African and African American Studies (B.A.),9.50%,"History, culture, politics, literature, and social experiences of Africa and people of African descent in the U.S. and the African diaspora."
,,,Latin American and Latinx Studies (B.A.),9.40%,"Interdisciplinary study of the history, politics, culture, literature, and social dynamics of Latin America and Latinx communities in the U.S."
,,,"Study of Women, Gender, and Sexuality (B.A.)",9.30%,"Interdisciplinary examination of the construction of gender and sexuality across history, culture, and society through feminist theory, queer theory, and humanities/social sciences scholarship."
,,,Media Studies (B.A.),8.60%,"History, analysis, and theorization of film, television, video art, the Internet, and expanded cinema, with a capstone applied senior workshop."
